first_name,last_name,email,date_of_birth,mobile_no,above_18,validate_check
William,Dixon,William_Dixon@woodward-fuller.biz,19860110,40601711,True,invalid_email
Kristen,Horn,Kristen_Horn@lin.com,19740910,737931,True,invalid_mobile_number
Kimberly,Chang,Kimberly_Chang@johnson-lopez.biz,19740227,2692047,True,invalid_mobile_number
Mary,Ball,Mary_Ball@stevens.biz,19680502,886359,True,invalid_mobile_number
Benjamin,Craig,Benjamin_Craig@berry.net,19881112,696429,True,invalid_mobile_number
Cathy,Werner,Cathy_Werner@martinez.net,20180925,7138041,False,invalid_mobile_number
Brandon,Bell,Brandon_Bell@johnson-burgess.com,19611027,768543,True,invalid_mobile_number
Paul,Farley,Paul_Farley@payne-taylor.com,19801122,8196105,True,invalid_mobile_number
Sarah,Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,20170426,12556,False,invalid_mobile_number
Caroline,Anderson,Caroline_Anderson@blair-phillips.com,19880227,5818212,True,invalid_mobile_number
Carl,Jones,Carl_Jones@coleman.com,19930621,220035,True,invalid_mobile_number
Scott,Lee,Scott_Lee@phillips.com,20100712,52145751,False,below_18
Kaylee,Coleman,Kaylee_Coleman@hammond.com,20090810,156657,False,invalid_mobile_number
Charles,Parker,Charles_Parker@morris-keller.com,19801220,92921,True,invalid_mobile_number
Susan,Hess,Susan_Hess@sharp-hodges.net,19500521,46541,True,invalid_mobile_number
Kiara,Collier,Kiara_Collier@chandler.biz,19590521,955551,True,invalid_mobile_number
Scott,Martinez,Scott_Martinez@goodwin.com,19920216,369441,True,invalid_mobile_number
Christopher,Ortega,Christopher_Ortega@perez.biz,19590618,9968155,True,invalid_mobile_number
Michael,Russell,Michael_Russell@nunez-wright.com,20130120,6400283,False,invalid_mobile_number
Dwayne,Johnson,Dwayne_Johnson@contreras-boyd.com,20061110,115935,False,invalid_mobile_number
Deanna,Sherman,Deanna_Sherman@wright-sanchez.org,19750425,143073,True,invalid_mobile_number
Douglas,Francis,Douglas_Francis@king-cross.org,19921221,1535885,True,invalid_mobile_number
Vicki,Diaz,Vicki_Diaz@macdonald-day.com,19931005,165459,True,invalid_mobile_number
Robin,Phillips,Robin_Phillips@krause.net,19740715,69531,True,invalid_mobile_number
Travis,Rice,Travis_Rice@bradley.net,20060805,3631 6303,False,invalid_mobile_number
Ashley,Rocha,Ashley_Rocha@hicks.info,19560911,7046565,True,invalid_mobile_number
Sarah,Jacobson,Sarah_Jacobson@mclean-jacobs.info,19580903,6107 1779,True,invalid_mobile_number
Kayla,Shannon,Kayla_Shannon@hendricks-hunter.org,19840517,51323743,True,invalid_email
Joseph,Torres,Joseph_Torres@johnson.com,19550505,34376,True,invalid_mobile_number
Kim,Jones,Kim_Jones@little.net,19851102,34401,True,invalid_mobile_number
Melissa,Tanner,Melissa_Tanner@johnson.net,19890430,70391,True,invalid_mobile_number
Sonya,Foster,Sonya_Foster@garcia-browning.com,19880910,143877,True,invalid_mobile_number
Thomas,Rivera,Thomas_Rivera@guzman-avila.com,19510715,843813,True,invalid_mobile_number
Jamie,Silva,Jamie_Silva@hill.com,20060621,469791,False,invalid_mobile_number
Kathleen,Moore,Kathleen_Moore@avila.info,19520203,609093,True,invalid_mobile_number
